Thing,tabooness,popularity,genderratio,std,male,female
rapeplay (giving),58.97,11.3734106,-4.945766321,26.51,18.92110388,3.825717322
pre-puberty children,98.11,2.38,-4.453266048,5.40,3.90,0.87
violating consent (giving),74.48,16.04531749,-4.283509256,24.99,26.0169,6.073734979
being dominant,24.26,28.18147306,-3.64927795,22.31,44.24,12.12294613
age gap (as older),53.33,9.541461743,-3.331009332,26.09,14.67680888,4.406114608
light bondage (giving),24.36,23.93745011,-3.133053313,21.03,36.29147834,11.58342189
extreme bondage (giving),52.30,18.67004652,-3.130030363,25.90,28.29897475,9.041118287
cheerleaders,18.86,18.70986879,-3.127643371,18.60,28.35409547,9.065642116
medium bondage (giving),36.29,24.22850653,-3.088100971,23.08,36.60382905,11.85318401
wardrobe malfunctions,27.82,19.83640633,-3.004269945,21.73,29.76518576,9.907626911
very short people,44.39,15.14301216,-2.966690958,25.82,22.65093889,7.635085425
mother-son incest,73.80,9.01485563,-2.917539216,26.08,13.42740602,4.60230524
feet,36.60,10.32921619,-2.788824637,25.27,15.20596774,5.452464645
mother-daughter incest,72.14,7.871304098,-2.572900298,25.77,11.33649359,4.406114608
cameltoe,19.96,30.19257473,-2.487684294,18.63,43.0713262,17.31382326
armpits,44.44,8.860375243,-2.468447051,25.80,12.61161945,5.109131039
escorts/prostitutes,32.89,16.78774104,-2.44282374,23.68,23.82317275,9.752309327
slave/master (as master),37.66,10.10120292,-2.432444869,23.61,14.31668688,5.885718957
sister-sister incest,66.28,7.423401545,-2.363350781,27.21,10.43251387,4.414289218
nuns,40.04,10.39432229,-2.354980067,25.26,14.59229045,6.196354124
transforming (gender),55.12,7.77,-2.311857253,25.62,10.85,4.69
babysitters,34.28,19.1920078,-2.290481169,24.40,26.71884761,11.66516799
babies/toddlers,98.02,0.6655418851,-2.256629552,8.39,0.922353287,0.4087304831
breast implants,23.50,9.516697749,-2.256440939,20.71,13.18854959,5.844845909
scat,84.77,1.879821378,-2.216203486,17.08,2.590673575,1.168969182
rapid age progression,62.07,1.157921007,-2.14774393,24.48,1.580127145,0.7357148696
dirty clothes,52.00,1.323959937,-2.084952745,25.15,1.78958586,0.8583340146
smegma,74.80,0.8763155724,-2.019709408,23.06,1.172233859,0.580397286
body swapping,46.37,6.706045678,-1.99945363,23.89,8.94057987,4.471511485
under-18 teens,83.68,27.14073653,-1.996503881,21.36,36.16653805,18.11493501
hotwifing,53.52,19.07743289,-1.993896556,25.64,25.41064932,12.74421646
bukkake,45.64,18.64002609,-1.9768073,26.51,24.75655018,12.523502
MLP,77.27,2.056323466,-1.959412348,21.38,2.72296329,1.389683643
glasses (clothing),20.05,18.93539541,-1.948907601,20.23,25.02847904,12.84231178
sister-brother incest,71.18,15.5424375,-1.94319873,26.37,20.52327932,10.56159568
maids,19.99,23.88153771,-1.930219166,18.55,31.46290376,16.30017167
sexual obedience training (as trainer),45.68,22.65600848,-1.923533246,24.49,29.81295704,15.49905992
insects/spiders,87.92,0.7288758097,-1.923389436,16.59,0.9591004299,0.4986511894
tearing clothes off,18.22,16.66571292,-1.920797509,17.79,21.91967075,11.41175509
farts,67.24,1.932169761,-1.900151249,23.22,2.531878146,1.332461375
breast milk,47.94,8.810294832,-1.862585304,23.90,11.46510859,6.155481076
students,43.53,22.67641241,-1.858326152,27.16,29.48590747,15.86691735
rapid age regression,69.81,2.946776911,-1.849638099,23.67,3.825377577,2.068176245
pubic hair,25.18,12.24888988,-1.832526841,22.71,15.84904274,8.648737023
dolphins/whales,87.90,0.7127521859,-1.812612094,16.56,0.9186785727,0.5068257991
anal pregnancy,57.56,4.46808805,-1.795811822,25.53,5.739903722,3.196272378
belches,62.66,0.6770172191,-1.760650547,24.51,0.8635578584,0.4904765797
cheating,55.49,15.33043806,-1.745786951,24.33,19.49435931,11.1665168
nazis,79.39,1.988379852,-1.717748685,21.84,2.513504575,1.46325513
transforming (inanimate objects),61.94,2.14380723,-1.689763471,25.70,2.693565575,1.594048884
transforming (size),54.17,3.10645,-1.6895671,23.75,3.9029,2.31
small penis humiliation,57.22,5.358618696,-1.664714736,24.47,6.695329438,4.021907954
ass-to-mouth,42.61,30.26258821,-1.661410795,25.67,37.78341234,22.74176408
69 (position),10.77,50.14313062,-1.654266191,14.80,62.50321538,37.78304586
pregnancy,40.75,13.80958412,-1.625215889,24.84,17.0984456,10.52072264
horses,86.72,8.652513721,-1.623201991,17.74,10.70811744,6.596909998
anal hooks,58.42,12.78009111,-1.603478012,25.76,15.74247602,9.817706205
facials,19.86,51.20248454,-1.601162763,19.69,63.03604895,39.36892013
penetrating an animal,91.87,14.29450402,-1.592508045,13.67,17.5614596,11.02754843
sissification,59.86,13.4414745,-1.567206207,24.86,16.41127402,10.47167498
rodents,90.21,0.5719904054,-1.551434702,15.05,0.6956131493,0.4483676615
bellies,27.97,21.01702673,-1.53927198,22.31,25.48046889,16.55358457
furries,67.33,4.907376818,-1.522350446,24.26,5.923639437,3.891114199
pigs,92.01,1.393708315,-1.507240268,11.95,1.675669717,1.111746914
fish/sharks,87.72,0.7950978681,-1.462387904,16.63,0.9444015728,0.6457941633
latex,35.09,18.65937669,-1.461025931,22.59,22.15485246,15.16390092
partner swapping,45.52,23.55231885,-1.457275194,25.10,27.93517804,19.16945966
meth,71.90,1.004034198,-1.456470069,22.82,1.19060743,0.8174609662
freeuse society,55.68,30.66309091,-1.453247817,26.86,36.32822548,24.99795635
slime/goo people,67.22,8.174465473,-1.427141654,25.63,9.613052585,6.735878362
teachers/professors,27.29,28.83149201,-1.411594132,22.84,33.75225076,23.91073326
calves (body part),27.45,10.4644421,-1.401717077,24.81,12.2147503,8.7141339
performing oral sex on animal,91.71,6.564284404,-1.393469184,13.98,7.643405725,5.485163083
animal-esque clothing,47.38,13.73516687,-1.39177646,27.14,15.98500717,11.48532658
reptiles/amphibians,88.17,1.60635796,-1.367539389,16.20,1.855730717,1.356985204
goats/sheep,91.36,0.7542634203,-1.365872928,12.83,0.870907287,0.6376195537
very tiny people,58.07,4.170816191,-1.362110855,25.32,4.810201007,3.531431374
knees,35.65,3.904509198,-1.32994444,25.45,4.457428435,3.351589962
vore (soft),75.85,2.435804629,-1.318848096,21.18,2.770734575,2.100874683
crossdressing,54.22,18.10228949,-1.316373508,25.75,20.57472532,15.62985367
cuckoldry,57.50,12.319,-1.31,,14.118,10.52
pony play,66.57,4.184954063,-1.306060498,23.86,4.740381435,3.62952669
monkeys/apes,89.99,0.8455702926,-1.298635864,14.37,0.9554257157,0.7357148696
hermaphrodites,56.23,7.777673531,-1.259959152,25.63,8.672325727,6.883021336
castration,83.44,2.110064022,-1.25435923,18.32,2.348142432,1.871985613
enthusiastic consent,7.96,72.09934544,-1.244538218,16.48,79.95443354,64.24425734
hypnotism,46.89,21.7883848,-1.243580061,24.32,24.15389703,19.42287256
dogs,90.25,9.936823812,-1.226321716,15.68,10.94697387,8.926673751
anal sex,20.93,78.40694025,-1.216155499,19.78,86.05445927,70.75942124
voyeurism (self),41.93,45.74695002,-1.215887704,25.09,50.20394664,41.2899534
sexual cartoons,34.83,12.1770434,-1.211756079,23.74,13.34288759,11.01119922
strip teases,8.63,47.06562949,-1.210187507,12.73,51.54154265,42.58971634
exhibitionism (other),33.27,50.30141188,-1.20195803,24.10,54.91493036,45.6878934
facesitting,17.44,58.31112682,-1.192132804,18.14,63.42189395,53.20035968
transforming (animals),70.15,5.47978649,-1.19066105,23.55,5.956711866,5.002861113
breeding/impregnation,28.04,21.69367341,-1.186886748,23.57,23.54756918,19.83977765
grandparent/grandchild incest,89.87,2.69547758,-1.176486946,15.56,2.914048433,2.476906728
squirting,20.50,50.68352299,-1.168630769,19.26,54.62462794,46.74241805
doctors,29.30,18.05895893,-1.162655355,21.96,19.41719031,16.70072754
thighs,12.14,32.44555384,-1.155928627,15.47,34.79219491,30.09891278
sploshing,51.22,1.585399052,-1.131229297,24.88,1.683019145,1.487778959
eager service,23.95,36.35858505,-1.130656627,20.63,38.58817477,34.12899534
cats,89.77,1.523715489,-1.130241324,15.00,1.616874288,1.430556691
vomit,81.65,1.514528704,-1.117397672,18.92,1.598500717,1.430556691
multiple partners,26.97,53.69550122,-1.109706332,19.05,56.48770808,50.90329437
facefucking,32.58,62.39626145,-1.108545487,23.11,65.60834895,59.18417396
ASMR,30.55,10.2853727,-1.093526859,22.76,10.74486459,9.825880814
